"tip.labels","pres.abs"
"Eugenia.abunan_PereiraSilva.16487","01000000000"
"Eugenia.moschata_Simon.971","11000000000"
"Eugenia.fasciculiflora_Simon.2032",NA
"Eugenia.pisonis_Giaretta.1419","01000000000"
"Eugenia.aff.moschata_Giaretta.1514","11000000000"
"Eugenia.joseramosii_Giaretta.1651","01000000000"
"Eugenia.kerianthera_Giaretta.1517","01000000000"
"Eugenia.spruceana_Holst.9465","01000000000"
"Eugenia.aff.adenocalyx_Giaretta.1441",NA
"Eugenia.aurata_Staggemeier.315","11000000000"
"Eugenia.flavescens_Zappi.415","11000000000"
"Eugenia.sparsa_Mazine.1084","11000000000"
"Eugenia.leptoclada_Lucas.389","10000000000"
"Eugenia.neoverrucosa_Lucas.118","10000000000"
"Eugenia.sphenophylla_Lucas.257","10000000000"
"Eugenia.talbotii_Parmentier.5037","00000000010"
"Eugenia.anastomosans_Holst.9383","01000000000"
"Eugenia.egensis_Vasconcelos.319","11100000100"
"Eugenia.protenta_Vasconcelos.350","01000000000"
"Eugenia.sp_Vasconcelos.348",NA
"Eugenia.aubletiana_Giaretta.1587",NA
"Eugenia.densiracemosa_Mazine.1072","11000000000"
"Eugenia.latifolia_Prevost.4707","01000000000"
"Eugenia.neograndifolia_Holst.9435","01000000000"
"Eugenia.platysema_Mazine.3001","10000000000"
"Eugenia.percincta_Simon.1158",NA
"Eugenia.astringens_Mazine.782","11000000000"
"Eugenia.unana_Faria.4221","10000000000"
"Eugenia.bimarginata_Mazine.469","11000000000"
"Eugenia.hiemalis_Mazine.970","11000000000"
"Eugenia.pluriflora_Faria.3052","11000000000"
"Eugenia.subglomerata_Mazine.461","10000000000"
"Eugenia.bacopari_Mazine.967","10000000000"
"Eugenia.coronata_Flickinger.109","00000000010"
"Eugenia.cycloidea_Flickinger.57","00100000000"
"Eugenia.greggii_Wilson.1534","01100000000"
"Eugenia.lambertiana_Vasconcelos.382","11100000000"
"Eugenia.stictopetala_Mazine.1077","11000000000"
"Eugenia.pacifica_VS.7887","00000000100"
"Eugenia.cocosensis_VS.7857","00000000100"
"Eugenia.hypargyrea_CarillaReyes.5231","00100000000"
"Eugenia.crenulata_Flickinger.2015DR6","00100000000"
"Eugenia.monticola_Vasconcelos.566","01100100000"
"Eugenia.bissei_Gomez.sn","00100000000"
"Eugenia.maestrensis_Flickinger.20","00100000000"
"Eugenia.laeteviridis_Oviedo.sn","00100000000"
"Eugenia.catingiflora_Oviedo.sn","00100000000"
"Eugenia.cati_Gomez.sn","00100000000"
"Eugenia.mensurensis_Flickinger.30","00100000000"
"Eugenia.naguana_Flickinger.26","00100000000"
"Eugenia.piedraensis_Flickinger.48","00100000000"
"Eugenia.torbeciana_Ionta.2047","00100000000"
"Eugenia.ekmanii_Skean.5061",NA
"Eugenia.cucullata_NL110154","01000000000"
"Eugenia.websteri_Flickinger.2016J8","00100000000"
"Eugenia.retinadenia_Oviedo.sn",NA
"Eugenia.victorinii_Oviedo.sn","00100000000"
"Eugenia.borinquensis_Flickinger.124","00000100000"
"Eugenia.stahlii_Flickinger.67","00000100000"
"Eugenia.cordata.var.caribaea_Carrington.2338",NA
"Eugenia.cordata.var.cordata_Gibney.sn","00000100000"
"Eugenia.padronii_Flickinger.83","00000100000"
"Eugenia.sintenisii_Flickinger.122","00000100000"
"Eugenia.stewardsonii_Flickinger.76","00000100000"
"Eugenia.haematocarpa_Flickinger.123","00000100000"
"Eugenia.sessiliflora_Gibney.sn","00000100000"
"Eugenia.stirpiflora_VIIS_1659",NA
"Eugenia.pubicalyx_Flickinger.2015DR11","00100000000"
"Eugenia.fajardensis_Flickinger.110","00000100000"
"Eugenia.woodburyana_Flickinger.126","00000100000"
"Eugenia.walkerae_Walker.95.016","00100000000"
"Eugenia.axillaris_Hamilton.553","00100100000"
"Eugenia.foetida_Holst.8865","00100100000"
"Eugenia.hiraeifolia_Souza.1142","01100000100"
"Eugenia.laevis_Lucas.1113","00100100000"
"Eugenia.neibensis_Vasconcelos.590","00100000000"
"Eugenia.rhombea_Holst.8864","01100100000"
"Eugenia.burretii_Vasconcelos.588","00100000000"
"Eugenia.cryptocardia_Vasconcelos.593","00100000000"
"Eugenia.dictyophylla_Clase.8180","00100000000"
"Eugenia.bahiensis_Faria.4229","10000000000"
"Eugenia.rara_Giaretta.1646","10000000000"
"Eugenia.batingabranca_Lucas.232","10000000000"
"Eugenia.verticillata_Duarte.sn_ESA85678","10000000000"
"Eugenia.nutans_Lucas.281","10000000000"
"Eugenia.subavenia_Mazine.805","10000000000"
"Eugenia.prasina_Mazine.959","11000000000"
"Eugenia.crassa_Giacomin.1860","10000000000"
"Eugenia.goiapabana_Bunger.sn","10000000000"
"Eugenia.grandissima_Faria.6270","10000000000"
"Eugenia.umbrosa_Mazine.1085","10000000000"
"Eugenia.ellipsoidea_Lucas.879","10000000000"
"Eugenia.vetula_Faria.1893","11000000000"
"Eugenia.schottiana_Valdemarin.821","10000000000"
"Eugenia.hirta_Faria.4227","10000000000"
"Eugenia.martinellii_Stadnik.380","10000000000"
"Eugenia.petaloidea_Amorim.1765.4","10000000000"
"Eugenia.fissurata_Giaretta.1639","10000000000"
"Eugenia.sebastianopolitana_Stadnik.448","10000000000"
"Eugenia.cerasiflora_Vasconcelos.419","11000000000"
"Eugenia.rotula_Faria.4190","10000000000"
"Eugenia.lagoensis_Fraga.2436","10000000000"
"Eugenia.punicifolia_Mazine.1065","11100000000"
"Eugenia.pseudopsidium_Santiago.2017.7","11100100000"
"Eugenia.sp_Prevost.4724",NA
"Eugenia.melanogyna_Mazine.969","10000000000"
"Eugenia.inversa_Faria.4230","10000000000"
"Eugenia.plicatocostata_Popovkin.1770","10000000000"
"Eugenia.bojeri_Page.32",NA
"Eugenia.mespiloides_Wilson.10741","00000010000"
"Eugenia.buxifolia_Wilson.10740","00000010000"
"Eugenia.neofasciculata_Page.105",NA
"Eugenia.pollicina_Page.106",NA
"Eugenia.orbiculata_Page.104","00000010000"
"Eugenia.vaughanii_Page.69",NA
"Eugenia.crassipetala_Florens.sn.PRU092782",NA
"Eugenia.lucida_Florens.sn.PRU092784","00000010000"
"Eugenia.pyxidata_MoorhouseGann.sn","00000010000"
"Eugenia.tinifolia_Page.25","00000010000"
"Eugenia.kanakana_Florens.sn.PRU092785","00000010000"
"Eugenia.calcadensis_Erkings.sn","00000000001"
"Eugenia.sp_RayA.2016",NA
"Eugenia.singampattiana_Erkings.sn","00000000001"
"Eugenia.wynadensis_Rajkumar.310","00000000001"
"Eugenia.reinwardtiana_Holst.8870","00010000000"
"Eugenia.capensis_vanWyk.12723","00001000000"
"Eugenia.capensis.subsp.natalitia_Maurin.1796","00001000000"
"Eugenia.sp_vanWyk.12717",NA
"Eugenia.erythrophylla_Maurin.1801","00001000000"
"Eugenia.woodii_Maurin.MvdB26","00001000000"
"Eugenia.zuluensis_Abbott.9188","00001000000"
"Eugenia.sp_vanWyk.12702",NA
"Eugenia.sp_vanWyk.12716",NA
"Eugenia.verdoorniae_vanWyk.12697","00001000000"
"Eugenia.umtamvunensis_Maurin.1794","00001000000"
"Eugenia.capensis.subsp.zeyheri_Maurin.1800","00001000000"
"Eugenia.roseopetiolata_Vasconcelos.sn","00001000000"
"Eugenia.brongniartiana_Pillon.176","00000001000"
"Eugenia.bullata_Vasconcelos.608","00000001000"
"Eugenia.paludosa_Vasconcelos.646","00000001000"
"Eugenia.tropophylla_Lowrey.2134","00001010000"
"Eugenia.umbellulifera_Vasconcelos.572","01000000000"
"Eugenia.excisa_Flickinger.52","00100000000"
"Eugenia.pachyadenia_Verdecia.sn",NA
"Eugenia.lineolata_Flickinger.2015DR18","00100000000"
"Eugenia.lucens_Flickinger.55","00100000000"
"Eugenia.coffeifolia_Holst.9516","01100000000"
"Eugenia.lindahlii_Clase.7839","00100000000"
"Eugenia.confusa_Abbott.24085","01100100000"
"Eugenia.excelsa_Lucas.125","11000000000"
"Eugenia.platyphylla_Lucas.1188","10000000000"
"Eugenia.pistaciifolia_Faria.1782","10000000000"
"Eugenia.bunchosiifolia_Vasconcelos.466","10000000000"
"Eugenia.speciosa_Bunger.585","11000000000"
"Eugenia.stigmatosa_Valdemarin.1353","10000000000"
"Eugenia.sp_Faria.6573",NA
"Eugenia.longipetiolata_Bunger.626","10000000000"
"Eugenia.wentii_Holst.9421","01000000000"
"Eugenia.sp_Faria.3140",NA
"Eugenia.angustissima_Vasconcelos.405","10000000000"
"Eugenia.cristaensis_Rosa.1399","10000000000"
"Eugenia.modesta_Mazine.854","11000000000"
"Eugenia.capparidifolia_Mazine.845","10000000000"
"Eugenia.costatifructa_Valdemarin.1287","10000000000"
"Eugenia.linearis_Flickinger.2015DR8","00100000000"
"Eugenia.lineata_Flickinger.102","00100000000"
"Eugenia.picardae_Flickinger.2015DR2","00100000000"
"Eugenia.stenoxipha_Oviedo.sn","00100000000"
"Eugenia.rigidifolia_Oviedo.sn","00100000000"
"Eugenia.varia_Oviedo.sn",NA
"Eugenia.lomensis_Flickinger.21","00100000000"
"Eugenia.tuberculata_Oviedo.sn","00100000000"
"Eugenia.biflora_Mazine.1075","11100100100"
"Eugenia.intermedia_Araujo.1788","00100000000"
"Eugenia.eggersii_Swensen.212","00000100000"
"Eugenia.patens_Lucas.104","01000000000"
"Eugenia.domingensis_Lucas.1127","00100100000"
"Eugenia.florida_Mazine.965","11100000100"
"Eugenia.paracatuana_Faria.2928","10000000000"
"Eugenia.chiquitensis_Mazine.1067","10000000000"
"Eugenia.longiracemosa_Vasconcelos.310","01000000000"
"Eugenia.binata_Colletta.1208","10000000000"
"Eugenia.disperma_Mazine.804","10000000000"
"Eugenia.macrosperma_Faria.2526","11000000000"
"Eugenia.sprengelii_Valdemarin.1143","10000000000"
"Eugenia.repanda_Lucas.273","10000000000"
"Eugenia.caloneura_Lucas.1160","10000000000"
"Eugenia.acutata_Vasconcelos.506","10000000000"
"Eugenia.tenuipedunculata_Mazine.993","11000000000"
"Eugenia.vattimoana_Giaretta.1465","10000000000"
"Eugenia.subterminalis_Mazine.974","11000000000"
"Eugenia.neoriedeliana_Giaretta.1489","10000000000"
"Eugenia.zuccarinii_Brandao.159","10000000000"
"Eugenia.guanabarina_Giaretta.1629","10000000000"
"Eugenia.longohypanthiata_Giaretta.1500","10000000000"
"Eugenia.macrobracteolata_Faria.3051","10000000000"
"Eugenia.involucrata_Vasconcelos.256","11000000000"
"Eugenia.magnisepala_Moraes.600","10000000000"
"Eugenia.luschnathiana_Abbott.24204","11000000000"
"Eugenia.cereja_Gressler.92L","10000000000"
"Eugenia.membranifolia_Duarte.sn_ESA85677","10000000000"
"Eugenia.expansa_Staggemeier.821","10000000000"
"Eugenia.magnibracteolata_Bunger.627","10000000000"
"Eugenia.regia_Bunger.578","10000000000"
"Eugenia.puberula_Bunger.629","10000000000"
"Eugenia.selloi_Bunger.566","10000000000"
"Eugenia.ruschiana_Bunger.618","10000000000"
"Eugenia.glandulosa_Faria.3019","10000000000"
"Eugenia.sp_Staggemeier.897",NA
"Eugenia.aff.ischnosceles_Faria.1223",NA
"Eugenia.itajurensis_Faria.6723","10000000000"
"Eugenia.langsdorffii_Faria.918","10000000000"
"Eugenia.sp_Faria.2732",NA
"Eugenia.pyriformis_Mazine.1028","11000000000"
"Eugenia.ternatifolia_Faria.2861","10000000000"
"Eugenia.sp_Faria.3153",NA
"Eugenia.sellowiana_Faria.1744","10000000000"
"Eugenia.sp_Faria.2622",NA
"Eugenia.sp_Faria.2591",NA
"Eugenia.sp_Faria.2592",NA
"Eugenia.excoriata_Faria.2539","10000000000"
"Eugenia.sp_Faria.2617",NA
"Eugenia.piresiana_Faria.3101","10000000000"
"Eugenia.sp_Costa.470",NA
"Eugenia.sp_Faria.2624",NA
"Eugenia.beaurepairiana_Mazine.1008","10000000000"
"Eugenia.pohliana_Faria.1888","10000000000"
"Eugenia.supraaxillaris_Faria.3033","10000000000"
"Eugenia.armeniaca_Holst.9400","01000000000"
"Eugenia.stipitata_Stadnik.428","01000000000"
"Eugenia.victoriana_Vasconcelos.717","01000000000"
"Eugenia.brasiliensis_Lucas.126","10000000000"
"Eugenia.mattosii_Valdemarin.1349","10000000000"
"Eugenia.neomyrtifolia_Mazine.953","10000000000"
"Eugenia.sulcata_Staggemeier.902","10000000000"
"Eugenia.ligustrina_Vasconcelos.570","11100100000"
"Eugenia.pitanga_Faria.4112","10000000000"
"Eugenia.uniflora_Lucas.207","11000000000"
"Eugenia.altissima_Faria.2582","10000000000"
"Eugenia.azuruensis_Faria.2642","11000000000"
"Eugenia.rosea_Faria.2579","10000000000"
"Eugenia.klotzschiana_Faria.2006","11000000000"
"Eugenia.sp_Faria.2287",NA
"Eugenia.laruotteana_Faria.6433","10000000000"
"Eugenia.pyrifera_Faria.3870","10000000000"
"Eugenia.malacantha_Faria.3043","10000000000"
"Eugenia.sp_Faria.6308",NA
"Eugenia.tetramera_Holst.9422","01000000000"
"Eugenia.farneyi_Farney.4464","10000000000"
"Eugenia.arenosa_Mazine.1043","10000000000"
"Eugenia.dysenterica_Mazine.466","11000000000"
"Eugenia.patrisii_Staggemeier.834","01000000000"
"Eugenia.hamiltonii_Mazine.1033","10000000000"
"Eugenia.handroi_Mazine.951","10000000000"
"Eugenia.myrcianthes_Faria.2850","11000000000"
"Eugenia.splendens_Faria.6793","11000000000"
"Myrcianthes.callicoma_Wood.21047","10000000000"
"Myrcianthes.osteomeloides_Wood.21051","11000000000"
"Myrcianthes.ferreyrae_Peru.170227",NA
"Myrcianthes.pseudomato_Beck.9667","11000000000"
"Myrcianthes.pungens_Faria.2759","11000000000"
"Myrcianthes.roncesvallensis_ParraO.849","01000000000"
"Myrcianthes.cisplatensis_Landrum.11233","10000000000"
"Myrcianthes.cruciatus_Proenca.5441","10000000000"
"Myrcianthes.fragrans_Hamilton.552","01100100000"
"Myrcianthes.gigantea_Mondim.sn","10000000000"
