commonSpecies,commonSpeciesCount,indicatorSpecies,indicatorSpeciesScore,bioregion,clusterColor
Eugenia.reinwardtiana Holst.8870,656,Eugenia.reinwardtiana Holst.8870,9.11631419939577,4,#7dc69c
Eugenia.punicifolia Mazine.1065,4736,Eugenia.brasiliensis Lucas.126,1.2742820945945947,1,#9fb3bf
Eugenia.uniflora Lucas.207,1489,Eugenia.pitanga Faria.4112,1.2742820945945947,1,#9fb3bf
Eugenia.florida Mazine.965,1369,Eugenia.paracatuana Faria.2928,1.2742820945945947,1,#9fb3bf
Eugenia.hiemalis Mazine.970,1071,Eugenia.langsdorffii Faria.918,1.2742820945945947,1,#9fb3bf
Eugenia.pyriformis Mazine.1028,1020,Eugenia.acutata Vasconcelos.506,1.2742820945945947,1,#9fb3bf
Eugenia.involucrata Vasconcelos.256,1015,Myrcianthes.cisplatensis Landrum.11233,1.2742820945945947,1,#9fb3bf
Eugenia.astringens Mazine.782,806,Eugenia.ternatifolia Faria.2861,1.2742820945945947,1,#9fb3bf
Eugenia.bimarginata Mazine.469,733,Eugenia.costatifructa Valdemarin.1287,1.2742820945945947,1,#9fb3bf
Eugenia.dysenterica Mazine.466,714,Eugenia.platysema Mazine.3001,1.2742820945945947,1,#9fb3bf
Eugenia.aurata Staggemeier.315,685,Eugenia.sphenophylla Lucas.257,1.2742820945945947,1,#9fb3bf
Eugenia.florida Mazine.965,1697,Eugenia.latifolia Prevost.4707,3.5562757807896292,2,#e1bc66
Eugenia.punicifolia Mazine.1065,1267,Eugenia.longiracemosa Vasconcelos.310,3.5562757807896292,2,#e1bc66
Eugenia.biflora Mazine.1075,1230,Eugenia.patens Lucas.104,3.556275780789629,2,#e1bc66
Eugenia.egensis Vasconcelos.319,888,Eugenia.spruceana Holst.9465,3.556275780789629,2,#e1bc66
Eugenia.lambertiana Vasconcelos.382,743,Eugenia.tetramera Holst.9422,3.556275780789629,2,#e1bc66
Eugenia.patrisii Staggemeier.834,739,Eugenia.kerianthera Giaretta.1517,3.556275780789629,2,#e1bc66
Eugenia.flavescens Zappi.415,374,Eugenia.joseramosii Giaretta.1651,3.556275780789629,2,#e1bc66
Eugenia.pseudopsidium Santiago.2017.7,359,Eugenia.armeniaca Holst.9400,3.556275780789629,2,#e1bc66
Eugenia.patens Lucas.104,355,Eugenia.abunan PereiraSilva.16487,3.556275780789629,2,#e1bc66
Eugenia.stictopetala Mazine.1077,312,Eugenia.umbellulifera Vasconcelos.572,3.556275780789629,2,#e1bc66
Eugenia.capensis vanWyk.12723,99,Eugenia.capensis vanWyk.12723,60.95959595959596,5,#a2bd71
Eugenia.woodii Maurin.MvdB26,46,Eugenia.zuluensis Abbott.9188,60.95959595959596,5,#a2bd71
Eugenia.erythrophylla Maurin.1801,39,Eugenia.verdoorniae vanWyk.12697,60.95959595959596,5,#a2bd71
Eugenia.zuluensis Abbott.9188,30,Eugenia.capensis.subsp.natalitia Maurin.1796,60.95959595959596,5,#a2bd71
Eugenia.verdoorniae vanWyk.12697,23,Eugenia.umtamvunensis Maurin.1794,60.95959595959596,5,#a2bd71
Eugenia.capensis.subsp.natalitia Maurin.1796,15,Eugenia.capensis.subsp.zeyheri Maurin.1800,60.95959595959596,5,#a2bd71
Eugenia.umtamvunensis Maurin.1794,9,Eugenia.roseopetiolata Vasconcelos.sn,60.95959595959596,5,#a2bd71
Eugenia.tropophylla Lowrey.2134,9,Eugenia.woodii Maurin.MvdB26,59.662583279604554,5,#a2bd71
Eugenia.capensis.subsp.zeyheri Maurin.1800,6,Eugenia.erythrophylla Maurin.1801,59.43560606060606,5,#a2bd71
Eugenia.roseopetiolata Vasconcelos.sn,5,Eugenia.tropophylla Lowrey.2134,32.27272727272727,5,#a2bd71
Eugenia.buxifolia Wilson.10740,23,Eugenia.orbiculata Page.104,262.3913043478261,7,#dc9f71
Eugenia.orbiculata Page.104,11,Eugenia.kanakana Florens.sn.PRU092785,262.3913043478261,7,#dc9f71
Eugenia.tropophylla Lowrey.2134,8,Eugenia.mespiloides Wilson.10741,262.3913043478261,7,#dc9f71
Eugenia.tinifolia Page.25,8,Eugenia.buxifolia Wilson.10740,262.39130434782606,7,#dc9f71
Eugenia.pyxidata MoorhouseGann.sn,6,Eugenia.tinifolia Page.25,262.39130434782606,7,#dc9f71
Eugenia.mespiloides Wilson.10741,5,Eugenia.pyxidata MoorhouseGann.sn,262.39130434782606,7,#dc9f71
Eugenia.kanakana Florens.sn.PRU092785,5,Eugenia.lucida Florens.sn.PRU092784,262.39130434782606,7,#dc9f71
Eugenia.lucida Florens.sn.PRU092784,2,Eugenia.tropophylla Lowrey.2134,123.4782608695652,7,#dc9f71
Eugenia.brongniartiana Pillon.176,112,Eugenia.bullata Vasconcelos.608,53.88392857142858,8,#77c0c2
Eugenia.bullata Vasconcelos.608,40,Eugenia.brongniartiana Pillon.176,53.4070796460177,8,#77c0c2
Eugenia.paludosa Vasconcelos.646,33,Eugenia.paludosa Vasconcelos.646,52.29910714285714,8,#77c0c2
Myrcianthes.fragrans Hamilton.552,1278,Eugenia.crenulata Flickinger.2015DR6,4.722222222222222,3,#e69b94
Eugenia.axillaris Hamilton.553,1228,Eugenia.lindahlii Clase.7839,4.722222222222222,3,#e69b94
Eugenia.foetida Holst.8865,626,Eugenia.dictyophylla Clase.8180,4.722222222222222,3,#e69b94
Eugenia.rhombea Holst.8864,445,Eugenia.burretii Vasconcelos.588,4.722222222222222,3,#e69b94
Eugenia.biflora Mazine.1075,422,Eugenia.tuberculata Oviedo.sn,4.722222222222222,3,#e69b94
Eugenia.monticola Vasconcelos.566,421,Eugenia.catingiflora Oviedo.sn,4.722222222222222,3,#e69b94
Eugenia.hiraeifolia Souza.1142,258,Eugenia.cryptocardia Vasconcelos.593,4.722222222222222,3,#e69b94
Eugenia.hypargyrea CarillaReyes.5231,148,Eugenia.neibensis Vasconcelos.590,4.722222222222222,3,#e69b94
Eugenia.ligustrina Vasconcelos.570,104,Eugenia.excisa Flickinger.52,4.722222222222222,3,#e69b94
Eugenia.confusa Abbott.24085,94,Eugenia.linearis Flickinger.2015DR8,4.722222222222222,3,#e69b94
Eugenia.pacifica VS.7887,17,Eugenia.cocosensis VS.7857,355.00000000000006,9,#9db797
Eugenia.egensis Vasconcelos.319,9,Eugenia.pacifica VS.7887,355,9,#9db797
Eugenia.cocosensis VS.7857,5,Eugenia.hiraeifolia Souza.1142,4.049429657794677,9,#9db797
Eugenia.hiraeifolia Souza.1142,3,Eugenia.egensis Vasconcelos.319,2.251585623678647,9,#9db797
Eugenia.biflora Mazine.1075,2,Eugenia.biflora Mazine.1075,0.3622448979591837,9,#9db797
Eugenia.florida Mazine.965,1,Eugenia.florida Mazine.965,0.1126984126984127,9,#9db797
Eugenia.biflora Mazine.1075,125,Eugenia.woodburyana Flickinger.126,48.28000000000001,6,#d5a5ba
Eugenia.monticola Vasconcelos.566,91,Eugenia.eggersii Swensen.212,48.28,6,#d5a5ba
Eugenia.ligustrina Vasconcelos.570,63,Eugenia.stahlii Flickinger.67,48.28,6,#d5a5ba
Eugenia.axillaris Hamilton.553,52,Eugenia.sessiliflora Gibney.sn,48.28,6,#d5a5ba
Eugenia.pseudopsidium Santiago.2017.7,50,Eugenia.borinquensis Flickinger.124,48.28,6,#d5a5ba
Eugenia.rhombea Holst.8864,47,Eugenia.stewardsonii Flickinger.76,48.28,6,#d5a5ba
Eugenia.foetida Holst.8865,45,Eugenia.cordata.var.cordata Gibney.sn,48.28,6,#d5a5ba
Eugenia.eggersii Swensen.212,34,Eugenia.haematocarpa Flickinger.123,48.28,6,#d5a5ba
Eugenia.stahlii Flickinger.67,34,Eugenia.sintenisii Flickinger.122,48.28,6,#d5a5ba
Eugenia.confusa Abbott.24085,30,Eugenia.fajardensis Flickinger.110,48.28,6,#d5a5ba
Eugenia.coronata Flickinger.109,11,Eugenia.coronata Flickinger.109,548.6363636363636,10,#bfb06f
Eugenia.talbotii Parmentier.5037,8,Eugenia.talbotii Parmentier.5037,548.6363636363636,10,#bfb06f
Eugenia.singampattiana Erkings.sn,6,Eugenia.singampattiana Erkings.sn,1005.8333333333334,11,#b2b8da
Eugenia.wynadensis Rajkumar.310,1,Eugenia.calcadensis Erkings.sn,1005.8333333333333,11,#b2b8da
Eugenia.calcadensis Erkings.sn,1,Eugenia.wynadensis Rajkumar.310,1005.8333333333333,11,#b2b8da